Title,Make,Model,Year,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition
Toyota Corolla gli 2010,Toyota,Corolla GLI,2010,"2,100,000",Petrol,Karachi,Original,Local,Manual,Used
Hyundai Santro GV 2007 1000cc car ( Family use car in good condition),Hyundai,Santro,2007,"935,000",Petrol,Lahore,Original,Local,Manual,Used
Honda City I-Vtec 1.3 Manual 2017 Genuine.,Honda,City IVTEC,2017,"3,325,000",Petrol,Lahore,Original,Local,Manual,Used
Honda Civic Turbo 1.5 2017,Honda,Civic Turbo 1.5,2017,"5,300,000",Petrol,Islamabad,Original,Local,Automatic,Used
Kia sposrtage very lush condition,KIA,Sportage,2021,"8,000,000",Petrol,Islamabad,Original,Local,Automatic,Used
Toyota Belta 2007 import 2012 for sale in Islamabad,Toyota,Belta,2007,"2,100,000",Petrol,Islamabad,Original,Imported,Automatic,Used
Honda Civic 2018 Model New Condition,Honda,Civic VTi Oriel,2018,"5,540,000",Petrol,Lahore,Original,Local,Manual,Used
SUZUKI CULTUS VXL 2017 REG 2018,Suzuki,Cultus VXL,2017,"2,390,000",Petrol,Lahore,Original,Local,Manual,Used
Hyundai Santro |  Model 2007,Hyundai,Santro,2007,"890,000",Petrol,Lahore,Original,Local,Manual,Used
HYUNDAI TUCSON (AWD) (ULTIMATE) (DIAMOND BLACK METALLIC) (2023) (ZERO),Hyundai,Tucson,2023,"9,450,000",Petrol,Unregistered,Original,Local,Automatic,New
HYUNDAI TUCSON (AWD) (ULTIMATE) (POLAR WHITE) (2023) (ZERO),Hyundai,Tucson,2023,"9,250,000",Petrol,Unregistered,Original,Local,Automatic,New
price is negotiable,Toyota,Corolla GLI,2010,"2,000,000",Petrol,Lahore,Original,Local,Manual,Used
Honda civic Urgent sale,Honda,Civic EXi,1995,"920,000",Petrol,Lahore,Original,Local,Manual,Used
selling nissan march in good condition,Nissan,March,2007,"1,450,000",Petrol,Karachi,Original,Imported,Automatic,Used
Suzuki Cultus vxr 2011 model,Suzuki,Cultus VXR,2011,"1,400,000",Petrol,Islamabad,Original,Local,Manual,Used
Daihatsu Cuore CX Eco 2010 For Sale,Daihatsu,Cuore,2010,"1,040,000",Petrol,Lahore,Original,Local,Manual,Used
Honda City Aspire 1.3 Manual 2016 Medel,Honda,City Aspire,2016,"2,985,000",Petrol,Lahore,Original,Local,Manual,Used
Honda Civic Oriel,Honda,Civic VTi Oriel Prosmatec,2021,"6,650,000",Petrol,Lahore,Original,Local,Automatic,Used
KIA SPORTAGE 2003 Model,KIA,Sportage,2003,"1,320,000",Diesel,Lahore,Original,Imported,Manual,Used
Honda Accord 2003/2005,Honda,Accord,2003,"2,350,000",Petrol,Sindh,Original,Imported,Automatic,Used
